Borough, Neighborhood, Latitude, Longitude
Bexley, Blackfen and Lamorbey,51.4452095,0.090901
Bexley, Blendon and Penhill,51.44554901,0.118562
Bexley, Brampton,51.46947098,0.141874
Bexley, Christchurch,51.45624924,0.142132
Bexley, Colyers,51.47090149,0.168954
Bexley, Crayford,51.44,0.18
Bexley, Cray Meadows,51.42266083,0.13119701
Bexley, Danson Park,51.45650101,0.118768
Bexley, East Wickham,51.46789169,0.097468
Bexley, Erith,51.48871994,0.169598
Bexley, Falconwood and Welling,51.45795822,0.092262
Bexley, Lesnes Abbey,51.48324966,0.132596
Bexley, Longlands,51.42824936,0.093306
Bexley, North End,51.47006989,0.19715101
Bexley, Northumberland Heath,51.47546005,0.15346
Bexley, St Mary's,51.43870163,0.14377099
Bexley, St Michael's,51.47142029,0.11802
Bexley, Sidcup,51.43756104,0.102077
Bexley, Thamesmead East,51.50091934,0.13660599
Brent, Alperton,51.54116821,-0.29488999
Brent, Barnhill,51.5713501,-0.27994999
Brent, Brondesbury Park,51.54235077,-0.22045
Brent, Dollis Hill,51.5642395,-0.23676001
Brent, Dudden Hill,51.55522919,-0.24043
Brent, Fryent,51.58182144,-0.26684001
Brent, Harlesden,51.54074097,-0.24954
Brent, Kensal Green,51.53514862,-0.23732001
Brent, Kenton,51.58029938,-0.30392
Brent, Kilburn,51.53926849,-0.19956
Brent, Mapesbury,51.55437088,-0.22051001
Brent, Northwick Park,51.57205963,-0.31724
Brent, Preston,51.56420898,-0.296
Brent, Queens Park,51.53527832,-0.21288
Brent, Queensbury,51.59257889,-0.27366
Brent, Stonebridge,51.53908157,-0.26989001
Brent, Sudbury,51.55511856,-0.31562001
Brent, Tokyngton,51.55295944,-0.27985001
Brent, Welsh Harp,51.56587982,-0.25734001
Brent, Wembley Central,51.55007172,-0.29655999
Brent, Willesden Green,51.54463959,-0.23886999
Bromley, Bickley,51.40238953,0.046418
Bromley, Biggin Hill,51.31369019,0.023113
Bromley, Bromley Common and Keston,51.36983871,0.041692
Bromley, Bromley Town,51.40507889,0.015337
Bromley, Chelsfield and Pratts Bottom,51.34455109,0.112379
Bromley, Chislehurst,51.4134407,0.075659
Bromley, Clock House,51.40663147,-0.04369
Bromley, Copers Cope,51.41242981,-0.01968
Bromley, Cray Valley East,51.39426041,0.12671401
Bromley, Cray Valley West,51.40016174,0.10305
Bromley, Crystal Palace,51.41561127,-0.06892
Bromley, Darwin,51.3222084,0.047142
Bromley, Farnborough and Crofton,51.36449051,0.067413
Bromley, Hayes and Coney Hall,51.37208176,0.007927
Bromley, Kelsey and Eden Park,51.39138031,-0.03157
Bromley, Mottingham and Chislehurst North,51.43201065,0.041613
Bromley, Orpington,51.37181091,0.108949
Bromley, Penge and Cator,51.41576004,-0.04873
Bromley, Petts Wood and Knoll,51.38834,0.07701
Bromley, Plaistow and Sundridge,51.41761017,0.024231
Bromley, Shortlands,51.39686966,-0.00318
Bromley, West Wickham,51.37680054,-0.01146
Camden, Belsize,51.54673004,-0.16643
Camden, Bloomsbury,51.52190018,-0.13256
Camden, Camden Town with Primrose Hill,51.54085159,-0.14934
Camden, Cantelowes,51.54486847,-0.13389
Camden, Fortune Green,51.55307007,-0.20014
Camden, Frognal and Fitzjohns,51.55615997,-0.1838
Camden, Gospel Oak,51.55244064,-0.15507001
Camden, Hampstead Town,51.56029892,-0.17442
Camden, Haverstock,51.54679108,-0.15270001
Camden, Highgate,51.56304169,-0.15341
Camden, Holborn and Covent Garden,51.51897812,-0.11466
Camden, Kentish Town,51.55170059,-0.13929
Camden, Kilburn,51.54035187,-0.18741
Camden, King's Cross,51.52698135,-0.12235
Camden, Regent's Park,51.53057098,-0.14184
Camden, St Pancras and Somers Town,51.5348587,-0.13118
Camden, Swiss Cottage,51.54156876,-0.17075001
Camden, West Hampstead,51.54827881,-0.1892
Croydon, Addiscombe,51.38132858,-0.0817
Croydon, Ashburton,51.38444138,-0.05633
Croydon, Bensham Manor,51.39611816,-0.10593
Croydon, Broad Green,51.38014984,-0.11467
Croydon, Coulsdon East,51.30461121,-0.12194
Croydon, Coulsdon West,51.32405853,-0.13978
Croydon, Croham,51.35567856,-0.08788
Croydon, Fairfield,51.37226868,-0.08554
Croydon, Fieldway,51.35366821,-0.01792
Croydon, Heathfield,51.3535614,-0.03951
Croydon, Kenley,51.3185997,-0.10612
Croydon, New Addington,51.34112167,-0.01253
Croydon, Norbury,51.41046143,-0.11905
Croydon, Purley,51.33975983,-0.13281
Croydon, Sanderstead,51.33065033,-0.07899
Croydon, Selhurst,51.3904686,-0.09033
Croydon, Selsdon and Ballards,51.34339905,-0.05892
Croydon, Shirley,51.37810898,-0.04022
Croydon, South Norwood,51.40380096,-0.07678
Croydon, Thornton Heath,51.40299988,-0.09658
Croydon, Upper Norwood,51.41587067,-0.09693
Croydon, Waddon,51.36098862,-0.1111
Croydon, West Thornton,51.39371872,-0.11887
Croydon, Woodside,51.39308167,-0.06637
Ealing, Acton Central,51.51554108,-0.27202001
Ealing, Cleveland,51.52622986,-0.32174
Ealing, Dormers Wells,51.51729965,-0.36210999
Ealing, Ealing Broadway,51.51689911,-0.31101999
Ealing, Ealing Common,51.50894928,-0.29354
Ealing, East Acton,51.52507019,-0.26425001
Ealing, Elthorne,51.50415039,-0.33252999
Ealing, Greenford Broadway,51.53145981,-0.36629999
Ealing, Greenford Green,51.54312897,-0.34757
Ealing, Hanger Hill,51.52558136,-0.29416999
Ealing, Hobbayne,51.51979828,-0.34049001
Ealing, Lady Margaret,51.52230835,-0.36967
Ealing, Northfield,51.49863052,-0.31663001
Ealing, North Greenford,51.55051041,-0.32730001
Ealing, Northolt Mandeville,51.54872131,-0.37527999
Ealing, Northolt West End,51.5388298,-0.39651
Ealing, Norwood Green,51.50080109,-0.36217001
Ealing, Perivale,51.53593063,-0.32190001
Ealing, South Acton,51.50555038,-0.27621999
Ealing, Southall Broadway,51.51000977,-0.37919
Ealing, Southall Green,51.50040817,-0.39126
Ealing, Southfield,51.50045013,-0.26258999
Ealing, Walpole,51.50619125,-0.31617999
Enfield, Bowes,51.6122818,-0.10245
Enfield, Bush Hill Park,51.63528824,-0.08042
Enfield, Chase,51.6762619,-0.10066
Enfield, Cockfosters,51.66122055,-0.15081
Enfield, Edmonton Green,51.61917877,-0.05074
Enfield, Enfield Highway,51.65826035,-0.02969
Enfield, Enfield Lock,51.67219925,-0.02544
Enfield, Grange,51.64440918,-0.09137
Enfield, Haselbury,51.62321854,-0.07372
Enfield, Highlands,51.65909958,-0.10887
Enfield, Jubilee,51.63536072,-0.04188
Enfield, Lower Edmonton,51.62649918,-0.04434
Enfield, Palmers Green,51.61943817,-0.09707
Enfield, Ponders End,51.64440918,-0.03312
Enfield, Southbury,51.65167999,-0.06277
Enfield, Southgate,51.63383865,-0.12402
Enfield, Southgate Green,51.61949921,-0.12534
Enfield, Town,51.66009903,-0.07864
Enfield, Turkey Street,51.67308044,-0.04508
Enfield, Upper Edmonton,51.61098099,-0.06337
Enfield, Winchmore Hill,51.62931061,-0.10437
Greenwich, Abbey Wood,51.48791122,0.113238
Greenwich, Blackheath Westcombe,51.47872162,0.015356
Greenwich, Charlton,51.48228836,0.035792
Greenwich, Coldharbour and New Eltham,51.43270111,0.062059
Greenwich, Eltham North,51.4592514,0.063184
Greenwich, Eltham South,51.44694138,0.067105
Greenwich, Eltham West,51.45969009,0.035362
Greenwich, Glyndon,51.48968124,0.08219
Greenwich, Greenwich West,51.47629929,-0.0057
Greenwich, Kidbrooke with Hornfair,51.47085953,0.041
Greenwich, Middle Park and Sutcliffe,51.44729996,0.029343
Greenwich, Peninsula,51.4928894,0.015751
Greenwich, Plumstead,51.48482132,0.100247
Greenwich, Shooters Hill,51.47132111,0.074802
Greenwich, Thamesmead Moorings,51.5006485,0.102041
Greenwich, Woolwich Common,51.48031998,0.065532
Greenwich, Woolwich Riverside,51.49032974,0.048251
Hackney, Brownswood,51.5646286,-0.09799
Hackney, Cazenove,51.56681824,-0.06552
Hackney, Woodberry Down,51.56983948,-0.09116
Hackney, Clissold,51.559021,-0.08568
Hackney, Dalston,51.54740143,-0.07061
Hackney, De Beauvoir,51.54175949,-0.08113
Hackney, Hackney Central,51.54816055,-0.06047
Hackney, Hackney Downs,51.55744934,-0.06228
Hackney, Haggerston,51.53369141,-0.06973
Hackney, Homerton,51.54724121,-0.04817
Hackney, Hoxton East & Shoreditch,51.52856827,-0.08272
Hackney, Hoxton West,51.53189087,-0.08995
Hackney, King's Park,51.55506134,-0.03178
Hackney, Lea Bridge,51.55931091,-0.05038
Hackney, Shacklewell,51.55250168,-0.07178
Hackney, London Fields,51.53918839,-0.06666
Hackney, Stamford Hill West,51.56927872,-0.08026
Hackney, Springfield,51.57389069,-0.06435
Hackney, Stoke Newington,51.56079865,-0.07641
Hackney, Victoria,51.53874969,-0.04848
Hackney, Hackney Wick,51.54676056,-0.02956
Hammersmith and Fulham, Addison,51.50059891,-0.2201
Hammersmith and Fulham, Askew,51.50320053,-0.24337
Hammersmith and Fulham, Avonmore and Brook Green,51.49494934,-0.21453001
Hammersmith and Fulham, College Park and Old Oak,51.52331161,-0.23624
Hammersmith and Fulham, Fulham Broadway,51.48331833,-0.19992
Hammersmith and Fulham, Fulham Reach,51.48611832,-0.21876
Hammersmith and Fulham, Hammersmith Broadway,51.49322128,-0.22615001
Hammersmith and Fulham, Munster,51.47753143,-0.21099
Hammersmith and Fulham, North End,51.48772049,-0.20528001
Hammersmith and Fulham, Palace Riverside,51.47388077,-0.2175
Hammersmith and Fulham, Parsons Green and Walham,51.4738884,-0.19693001
Hammersmith and Fulham, Ravenscourt Park,51.49560928,-0.24183001
Hammersmith and Fulham, Sands End,51.46997833,-0.19016001
Hammersmith and Fulham, Shepherd's Bush Green,51.50651169,-0.22563
Hammersmith and Fulham, Town,51.47576904,-0.20347001
Hammersmith and Fulham, Wormholt and White City,51.51068878,-0.23845001
Haringey, Alexandra,51.59743881,-0.13136999
Haringey, Bounds Green,51.60425186,-0.12069
Haringey, Bruce Grove,51.59392929,-0.07691
Haringey, Crouch End,51.57831955,-0.13009
Haringey, Fortis Green,51.59159088,-0.15275
Haringey, Harringay,51.57743835,-0.1044
Haringey, Highgate,51.57862854,-0.15209
Haringey, Hornsey,51.58668137,-0.11868
Haringey, Muswell Hill,51.58660126,-0.13652
Haringey, Noel Park,51.59392166,-0.10741
Haringey, Northumberland Park,51.60297012,-0.05906
Haringey, St Ann's,51.58203125,-0.08994
Haringey, Seven Sisters,51.57889175,-0.0739
Haringey, Stroud Green,51.57579041,-0.11218
Haringey, Tottenham Green,51.58480072,-0.07235
Haringey, Tottenham Hale,51.59080124,-0.05949
Haringey, West Green,51.59206009,-0.09118
Haringey, White Hart Lane,51.6034584,-0.08445
Haringey, Woodside,51.60234833,-0.10239
Harrow, Belmont,51.60467148,-0.31224999
Harrow, Canons,51.62453079,-0.30592
Harrow, Edgware,51.60300064,-0.27948999
Harrow, Greenhill,51.5826416,-0.33023
Harrow, Harrow on the Hill,51.5657196,-0.34051999
Harrow, Harrow Weald,51.61445999,-0.34718999
Harrow, Hatch End,51.61027145,-0.37062001
Harrow, Headstone North,51.59754944,-0.36103001
Harrow, Headstone South,51.5876503,-0.35247999
Harrow, Kenton East,51.59024811,-0.29258999
Harrow, Kenton West,51.59122849,-0.31648999
Harrow, Marlborough,51.59283829,-0.33458999
Harrow, Pinner,51.60308075,-0.39074001
Harrow, Pinner South,51.58356094,-0.38565001
Harrow, Queensbury,51.59910965,-0.29627001
Harrow, Rayners Lane,51.5765686,-0.37537
Harrow, Roxbourne,51.56610107,-0.36473
Harrow, Roxeth,51.55910873,-0.36316001
Harrow, Stanmore Park,51.61626053,-0.32418999
Harrow, Wealdstone,51.59909058,-0.33809
Harrow, West Harrow,51.57693863,-0.35598001
Havering, Brooklands,51.573349,0.16713101
Havering, Cranham,51.57444,0.26755899
Havering, Elm Park,51.54339981,0.195851
Havering, Emerson Park,51.57542038,0.234874
Havering, Gooshays,51.61655045,0.229541
Havering, Hacton,51.55075073,0.218793
Havering, Harold Wood,51.59350967,0.243717
Havering, Havering Park,51.6119194,0.17684101
Havering, Heaton,51.60330963,0.207707
Havering, Hylands,51.5634613,0.19745199
Havering, Mawneys,51.59093857,0.161313
Havering, Pettits,51.59280014,0.188949
Havering, Rainham and Wennington,51.51052856,0.210124
Havering, Romford Town,51.57698059,0.187538
Havering, St Andrew's,51.55978012,0.224499
Havering, South Hornchurch,51.52244186,0.17894299
Havering, Squirrel's Heath,51.58309937,0.215792
Havering, Upminster,51.54190826,0.27621001
Hillingdon, Barnhill,51.52598953,-0.40858001
Hillingdon, Botwell,51.51401138,-0.42991999
Hillingdon, Brunel,51.52782059,-0.45892999
Hillingdon, Cavendish,51.56877136,-0.39714
Hillingdon, Charville,51.53269958,-0.42627999
Hillingdon, Eastcote and East Ruislip,51.58415985,-0.41215
Hillingdon, Harefield,51.59659958,-0.47086999
Hillingdon, Heathrow Villages,51.4779892,-0.45969
Hillingdon, Hillingdon East,51.54018021,-0.43978
Hillingdon, Ickenham,51.56420898,-0.46173999
Hillingdon, Manor,51.56983185,-0.41532001
Hillingdon, Northwood,51.60528946,-0.43720001
Hillingdon, Northwood Hills,51.60084915,-0.41053
Hillingdon, Pinkwell,51.49927139,-0.43487
Hillingdon, South Ruislip,51.5555687,-0.40538001
Hillingdon, Townfield,51.50933075,-0.40909001
Hillingdon, Uxbridge North,51.54676056,-0.46678001
Hillingdon, Uxbridge South,51.53470993,-0.48424
Hillingdon, West Drayton,51.50212097,-0.47646999
Hillingdon, West Ruislip,51.57638168,-0.43621999
Hillingdon, Yeading,51.52248001,-0.38850999
Hillingdon, Yiewsley,51.5170784,-0.46279001
Hounslow, Bedfont,51.45235825,-0.44176999
Hounslow, Brentford,51.49296188,-0.29747
Hounslow, Chiswick Homefields,51.47739029,-0.25698
Hounslow, Chiswick Riverside,51.4819603,-0.27168
Hounslow, Cranford,51.47373962,-0.40472001
Hounslow, Feltham North,51.45792007,-0.40869001
Hounslow, Feltham West,51.44009018,-0.43057001
Hounslow, Hanworth,51.42808151,-0.39300999
Hounslow, Hanworth Park,51.43991089,-0.40395999
Hounslow, Heston Central,51.47755051,-0.38236001
Hounslow, Heston East,51.48448944,-0.37079
Hounslow, Heston West,51.48630905,-0.39633
Hounslow, Hounslow Central,51.46979904,-0.35683
Hounslow, Hounslow Heath,51.45866013,-0.38466999
Hounslow, Hounslow South,51.46538925,-0.34805
Hounslow, Hounslow West,51.46791077,-0.38080001
Hounslow, Isleworth,51.46432114,-0.33015001
Hounslow, Osterley and Spring Grove,51.48559189,-0.34213001
Hounslow, Syon,51.48028183,-0.31518
Hounslow, Turnham Green,51.49505997,-0.27744001
Islington, Barnsbury,51.53799057,-0.11149
Islington, Bunhill,51.52537155,-0.09456
Islington, Caledonian,51.53892136,-0.11884
Islington, Canonbury,51.54235077,-0.09149
Islington, Clerkenwell,51.52746964,-0.11003
Islington, Finsbury Park,51.56145859,-0.11425
Islington, Highbury East,51.54943085,-0.10003
Islington, Highbury West,51.55630875,-0.10744
Islington, Hillrise,51.57051849,-0.13079
Islington, Holloway,51.55221939,-0.11933
Islington, Junction,51.56180954,-0.13427
Islington, Mildmay,51.5503006,-0.08647
Islington, St George's,51.5555687,-0.12974
Islington, St Mary's,51.54066849,-0.10457
Islington, St Peter's,51.53538895,-0.09756
Islington, Tollington,51.56721878,-0.1198
Kensington and Chelsea, Abingdon,51.49642944,-0.19724
Kensington and Chelsea, Brompton & Hans Town,51.49660873,-0.16756999
Kensington and Chelsea, Campden,51.50463867,-0.19375999
Kensington and Chelsea, Chelsea Riverside,51.48213959,-0.17621
Kensington and Chelsea, Colville,51.51581955,-0.20449001
Kensington and Chelsea, Courtfield,51.49126053,-0.17808001
Kensington and Chelsea, Dalgarno,51.52433014,-0.22085001
Kensington and Chelsea, Earl's Court,51.49103165,-0.19546001
Kensington and Chelsea, Golborne,51.52225876,-0.20810001
Kensington and Chelsea, Holland,51.50131989,-0.20777
Kensington and Chelsea, Norland,51.50809097,-0.21048
Kensington and Chelsea, Notting Dale,51.51261139,-0.21584
Kensington and Chelsea, Pembridge,51.51145172,-0.19823
Kensington and Chelsea, Queen's Gate,51.49842834,-0.18605
Kensington and Chelsea, Redcliffe,51.48619843,-0.18758
Kensington and Chelsea, Royal Hospital,51.48928833,-0.15990999
Kensington and Chelsea, St. Helen's,51.51887131,-0.21828
Kensington and Chelsea, Stanley,51.48635101,-0.17596
Kingston upon Thames, Alexandra,51.38608932,-0.27618
Kingston upon Thames, Berrylands,51.3922081,-0.29183999
Kingston upon Thames, Beverley,51.40393066,-0.25080001
Kingston upon Thames, Canbury,51.4176712,-0.29589
Kingston upon Thames, Chessington North and Hook,51.36951065,-0.30792001
Kingston upon Thames, Chessington South,51.34851837,-0.30802
Kingston upon Thames, Coombe Hill,51.42372894,-0.26651001
Kingston upon Thames, Coombe Vale,51.40956116,-0.26912999
Kingston upon Thames, Grove,51.40439987,-0.30102
Kingston upon Thames, Norbiton,51.40697861,-0.28461999
Kingston upon Thames, Old Malden,51.38554001,-0.25479001
Kingston upon Thames, St James,51.39260864,-0.25674
Kingston upon Thames, St Mark's,51.39471054,-0.30750999
Kingston upon Thames, Surbiton Hill,51.38584137,-0.30021
Kingston upon Thames, Tolworth and Hook Rise,51.37429047,-0.29148
Kingston upon Thames, Tudor,51.42393112,-0.30052
Lambeth, Bishop's,51.50080109,-0.11351
Lambeth, Brixton Hill,51.45228958,-0.12343
Lambeth, Clapham Common,51.45581055,-0.13864
Lambeth, Clapham Town,51.46572113,-0.14173999
Lambeth, Coldharbour,51.46456146,-0.10866
Lambeth, Ferndale,51.46493149,-0.11748
Lambeth, Gipsy Hill,51.42884064,-0.09089
Lambeth, Herne Hill,51.45915985,-0.10207
Lambeth, Knight's Hill,51.42908859,-0.10742
Lambeth, Larkhall,51.46945953,-0.12879001
Lambeth, Oval,51.48276138,-0.11653
Lambeth, Prince's,51.49005127,-0.11365
Lambeth, St Leonard's,51.42934036,-0.13217001
Lambeth, Stockwell,51.47367859,-0.12512
Lambeth, Streatham Hill,51.4414711,-0.12468
Lambeth, Streatham South,51.41741943,-0.13169999
Lambeth, Streatham Wells,51.42987061,-0.1212
Lambeth, Thornton,51.44837952,-0.13643999
Lambeth, Thurlow Park,51.44213867,-0.10089
Lambeth, Tulse Hill,51.4500618,-0.11499
Lambeth, Vassall,51.4756813,-0.10963
Lewisham, Bellingham,51.43070984,-0.02417
Lewisham, Blackheath,51.46546173,-0.00095
Lewisham, Brockley,51.46921158,-0.0288
Lewisham, Catford South,51.43901062,-0.00712
Lewisham, Crofton Park,51.45079041,-0.03846
Lewisham, Downham,51.4236908,-0.00208
Lewisham, Evelyn,51.48587036,-0.03507
Lewisham, Forest Hill,51.44013977,-0.05931
Lewisham, Grove Park,51.43487167,0.022289
Lewisham, Ladywell,51.45909882,-0.02712
Lewisham, Lee Green,51.45203018,0.006682
Lewisham, Lewisham Central,51.45301056,-0.00805
Lewisham, New Cross,51.48114014,-0.04447
Lewisham, Perry Vale,51.43593979,-0.0433
Lewisham, Rushey Green,51.44562912,-0.0197
Lewisham, Sydenham,51.42816925,-0.05728
Lewisham, Telegraph Hill,51.46863174,-0.04518
Lewisham, Whitefoot,51.43560028,0.006106
Merton, Abbey,51.41352844,-0.19154
Merton, Cannon Hill,51.40156174,-0.21449
Merton, Colliers Wood,51.41801834,-0.17155001
Merton, Cricket Green,51.39574051,-0.16069999
Merton, Dundonald,51.41392136,-0.21093
Merton, Figge's Marsh,51.40893936,-0.1574
Merton, Graveney,51.41545105,-0.15133999
Merton, Hillside,51.42007828,-0.21545
Merton, Lavender Fields,51.41069031,-0.17293
Merton, Longthornton,51.40866089,-0.14131001
Merton, Lower Morden,51.38837051,-0.22197001
Merton, Merton Park,51.40618134,-0.20102
Merton, Pollards Hill,51.39807129,-0.14162
Merton, Ravensbury,51.39564896,-0.18110999
Merton, Raynes Park,51.41072845,-0.23602
Merton, St Helier,51.39347839,-0.20146
Merton, Trinity,51.42208099,-0.19332001
Merton, Village,51.42554092,-0.23187999
Merton, West Barnes,51.39820099,-0.23514999
Merton, Wimbledon Park,51.43272018,-0.1969
Newham, Beckton,51.51638031,0.069023
Newham, Boleyn,51.5309906,0.040561
Newham, Canning Town North,51.52236176,0.007367
Newham, Canning Town South,51.5111618,0.014742
Newham, Custom House,51.51261902,0.033975
Newham, East Ham Central,51.53282928,0.051745
Newham, East Ham North,51.54277039,0.05313
Newham, East Ham South,51.52518845,0.059691
Newham, Forest Gate North,51.5513916,0.022852
Newham, Forest Gate South,51.54552078,0.015943
Newham, Green Street East,51.54169083,0.03765
Newham, Green Street West,51.54021835,0.028399
Newham, Little Ilford,51.55311966,0.055312
Newham, Manor Park,51.54862976,0.044552
Newham, Plaistow North,51.53121948,0.023472
Newham, Plaistow South,51.52391052,0.032618
Newham, Royal Docks,51.50273895,0.044688
Newham, Stratford and New Town,51.53853989,-0.00537
Newham, Wall End,51.53676987,0.063141
Newham, West Ham,51.53499985,0.011556
Redbridge, Aldborough,51.59096146,0.110278
Redbridge, Barkingside,51.58209991,0.068181
Redbridge, Bridge,51.60850143,0.047948
Redbridge, Chadwell,51.57455826,0.1233
Redbridge, Church End,51.59841156,0.022095
Redbridge, Clayhall,51.58407974,0.053548
Redbridge, Clementswood,51.55635071,0.081742
Redbridge, Cranbrook,51.56938171,0.061341
Redbridge, Fairlop,51.59885025,0.083122
Redbridge, Fullwell,51.59368896,0.06787
Redbridge, Goodmayes,51.55905151,0.110287
Redbridge, Hainault,51.61042023,0.121436
Redbridge, Loxford,51.54804993,0.074065
Redbridge, Mayfield,51.55387115,0.097006
Redbridge, Monkhams,51.61523819,0.024649
Redbridge, Newbury,51.57201004,0.085502
Redbridge, Roding,51.59376144,0.039185
Redbridge, Seven Kings,51.57291031,0.112992
Redbridge, Snaresbrook,51.58061981,0.022648
Redbridge, Valentines,51.5638504,0.070657
Redbridge, Wanstead,51.57032013,0.03388
Richmond upon Thames, Barnes,51.48041153,-0.2369
Richmond upon Thames, East Sheen,51.45246124,-0.26201001
Richmond upon Thames, Fulwell and Hampton Hill,51.42831039,-0.35275
Richmond upon Thames," Ham, Petersham and Richmond Riverside",51.43891144,-0.29854
Richmond upon Thames, Hampton,51.40710068,-0.33320001
Richmond upon Thames, Hampton North,51.42832184,-0.37573999
Richmond upon Thames, Hampton Wick,51.42189026,-0.31773999
Richmond upon Thames, Heathfield,51.44958878,-0.37031999
Richmond upon Thames, Kew,51.47711182,-0.28968
Richmond upon Thames, Mortlake and Barnes Common,51.46940994,-0.25413001
Richmond upon Thames, North Richmond,51.46736145,-0.29541001
Richmond upon Thames, St Margarets and North Twickenham,51.45653152,-0.32528001
Richmond upon Thames, South Richmond,51.45674133,-0.28988001
Richmond upon Thames, South Twickenham,51.44078827,-0.33938
Richmond upon Thames, Teddington,51.42221069,-0.33491999
Richmond upon Thames, Twickenham Riverside,51.45056915,-0.31705999
Richmond upon Thames, West Twickenham,51.43983078,-0.35905999
Richmond upon Thames, Whitton,51.45325089,-0.35613
Southwark, Brunswick Park,51.47505951,-0.08513
Southwark, Camberwell Green,51.4768219,-0.0957
Southwark, Cathedrals,51.5022583,-0.09974
Southwark, Chaucer,51.49962997,-0.0898
Southwark, College,51.43161011,-0.07805
Southwark, East Dulwich,51.45500946,-0.07383
Southwark, East Walworth,51.48825836,-0.08018
Southwark, Faraday,51.48427963,-0.08797
Southwark, Grange,51.49499893,-0.0782
Southwark, Livesey,51.48239136,-0.06301
Southwark, Newington,51.48709869,-0.10112
Southwark, Nunhead,51.47034836,-0.05448
Southwark, Peckham,51.47827911,-0.07334
Southwark, Peckham Rye,51.45571899,-0.05438
Southwark, Riverside,51.49945831,-0.06805
Southwark, Rotherhithe,51.49692917,-0.05116
Southwark, South Bermondsey,51.4895401,-0.06683
Southwark, South Camberwell,51.46471024,-0.08164
Southwark, Surrey Docks,51.50014114,-0.04009
Southwark, The Lane,51.46776962,-0.06712
Southwark, Village,51.4509697,-0.08839
Sutton, Beddington North,51.37609863,-0.13718
Sutton, Beddington South,51.35313034,-0.13283999
Sutton, Belmont,51.34777069,-0.19326
Sutton, Carshalton Central,51.36444855,-0.16921
Sutton, Carshalton South and Clockhouse,51.34458923,-0.16396999
Sutton, Cheam,51.35018921,-0.21549
Sutton, Nonsuch,51.37166977,-0.23857
Sutton, St Helier,51.38180923,-0.17941
Sutton, Stonecot,51.37977982,-0.20946001
Sutton, Sutton Central,51.36483002,-0.19151001
Sutton, Sutton North,51.37556076,-0.19311
Sutton, Sutton South,51.35599899,-0.18842
Sutton, Sutton West,51.3595314,-0.20196
Sutton, The Wrythe,51.37517929,-0.1705
Sutton, Wallington North,51.36690903,-0.15038
Sutton, Wallington South,51.35390091,-0.14882
Sutton, Wandle Valley,51.38338089,-0.16308001
Sutton, Worcester Park,51.3803215,-0.23142
Tower Hamlets, Bethnal Green,51.52724838,-0.04653
Tower Hamlets, Blackwall & Cubitt Town,51.50254059,-0.01168
Tower Hamlets, Bow East,51.53622818,-0.02707
Tower Hamlets, Bow West,51.53107834,-0.03691
Tower Hamlets, Bromley North,51.52648163,-0.01758
Tower Hamlets, Bromley South,51.52101135,-0.01901
Tower Hamlets, Canary Wharf,51.50099182,-0.02054
Tower Hamlets, Island Gardens,51.48987961,-0.01422
Tower Hamlets, Lansbury,51.51652908,-0.01031
Tower Hamlets, Limehouse,51.50991058,-0.03124
Tower Hamlets, Mile End,51.51811981,-0.0285
Tower Hamlets, St Dunstan's,51.51942062,-0.04184
Tower Hamlets, St Katharine's & Wapping,51.5069313,-0.06401
Tower Hamlets, St Peter's,51.52804184,-0.05785
